cd_setor;nm_dist;qt_pessoas;area_km2;qt_crimes;tx_crimes_1000_hab;log_tx_crimes_1000_hab;indice_infraestrutura_urbana;indice_mobilidade_urbana;indice_caminhabilidade;indice_vulnerabilidade_urbana;log_renda_media;densidade_populacional
355030811000146;Brasilândia;236;0.0164447;3;12.711864406779663;2.6182614731527725;0.8191056910569104;0.0;0.46747967479674796;0.09997061416397296;7.877768751747383;14351.128327059783
355030811000166;Brasilândia;529;0.020056;6;11.342155009451796;2.5130206393283343;0.5568181818181818;0.0;0.32386363636363635;0.21370593692022263;7.5661091310412765;26376.146788990824
355030811000257;Brasilândia;216;0.0051095;0;0.0;0.0;0.8333333333333334;0.0;0.3333333333333333;0.035789473684210524;7.731224332163081;42274.19512672473
355030811000261;Brasilândia;349;0.0093947;1;2.865329512893983;1.3520469340053287;0.8333333333333334;0.0;0.6666666666666666;0.03229813664596273;7.990769887160525;37148.605064557676
355030811000271;Brasilândia;526;0.023487;2;3.802281368821293;1.5690910901727266;0.5;0.0;0.3020833333333333;0.21792452830188677;7.393626105790439;22395.367650189466
355030811000282;Brasilândia;267;0.0112292;0;0.0;0.0;0.6006944444444444;0.015625;0.2708333333333333;0.15122863247863247;7.706806327557277;23777.29490969971
355030811000286;Brasilândia;552;0.0251635;9;16.304347826086957;2.850957789355288;0.609452736318408;0.3582089552238806;0.5737976782752902;0.2236858261882079;8.229492452123566;21936.535060703005
355030811000293;Brasilândia;170;0.0079424;0;0.0;0.0;0.7055555555555556;0.0;0.35000000000000003;0.14978494623655914;7.626784608256183;21404.109589041094
355030811000306;Brasilândia;501;0.0151976;2;3.992015968063872;1.6078398297927543;0.5;0.0;0.2699275362318841;0.25211383001966353;7.457176420507491;32965.731431278626
355030811000336;Brasilândia;576;0.0271474;1;1.736111111111111;1.0065376097219332;0.5258215962441315;0.0;0.29107981220657275;0.2531000652645319;7.604067445685239;21217.501491855575
355030811000346;Brasilândia;712;0.0209261;2;2.8089887640449436;1.3373637376483103;0.4513556618819776;0.0;0.13078149920255183;0.29332027276494743;7.363799426458455;34024.495725433786
355030811000363;Brasilândia;341;0.005984;4;11.730205278592376;2.543977538016077;0.5899470899470899;0.2698412698412698;0.5132275132275131;0.11076852803471508;7.428321310578901;56985.29411764706
355030811000373;Brasilândia;789;0.019948;7;8.871989860583017;2.2897014400740745;0.375;0.0;0.07414848832759278;0.36469555337499354;7.373198525471541;39552.837377180665
355030811000399;Brasilândia;465;0.0087074;0;0.0;0.0;;0.0;;0.41436464088397784;7.330850722026438;53402.85274594023
355030811000418;Brasilândia;240;0.0116782;3;12.5;2.6026896854443837;0.6776556776556776;0.04395604395604396;0.32234432234432236;0.15034272658035036;7.311772672991101;20551.112328954805
355030811000433;Brasilândia;528;0.0152238;6;11.363636363636363;2.5147596129376817;0.561046511627907;0.005813953488372093;0.24224806201550386;0.21661299940369708;7.4115864988351685;34682.53655460529
355030811000449;Brasilândia;567;0.0306165;7;12.345679012345679;2.5911926629667694;0.4113680154142582;0.09826589595375723;0.06551059730250482;0.351251332063164;7.430185310406249;18519.425799813824
355030811000451;Brasilândia;617;0.0298692;2;3.2414910858995136;1.444914878624758;0.5254110612855007;0.05829596412556054;0.23019431988041852;0.28153990676899626;7.509817341580315;20656.730009508123
355030811000467;Brasilândia;397;0.0187883;1;2.5188916876574305;1.2581460785697713;0.5041407867494824;0.012422360248447204;0.15113871635610768;0.21207651044607564;7.394923254397453;21130.171436479086
355030811000477;Brasilândia;1050;0.0207144;0;0.0;0.0;0.3923611111111111;0.0;0.017857142857142856;0.34700450450450454;7.207296749946366;50689.37550689375
355030811000486;Brasilândia;279;0.0130616;4;14.336917562724015;2.730262834595451;0.6496598639455783;0.07653061224489796;0.3333333333333333;0.23666666666666666;7.650696881180897;21360.323390702517
355030811000509;Brasilândia;633;0.0355908;7;11.058451816745656;2.489765809654294;0.668888888888889;0.0;0.33947377241494886;0.09712106135986734;8.116757414990667;17785.495127954415
355030811000511;Brasilândia;430;0.0284987;9;20.930232558139533;3.087866166939895;0.7415611814345991;0.0189873417721519;0.4177215189873418;0.11665622258428376;7.804606277706066;15088.407541396626
